Away,AwayPts,Home,HomePts
1,Miami Heat,,Boston Celtics,
2,Milwaukee Bucks,,Brooklyn Nets,
3,Philadelphia 76ers,,Dallas Mavericks,
4,Detroit Pistons,,Indiana Pacers,
5,Portland Trail Blazers,,Minnesota Timberwolves,
6,Chicago Bulls,,New York Knicks,
7,Cleveland Cavaliers,,Phoenix Suns,
8,Orlando Magic,,Toronto Raptors,
9,Charlotte Hornets,,Utah Jazz,
10,Denver Nuggets,,Golden State Warriors,
11,Los Angeles Lakers,,Oklahoma City Thunder,
12,Houston Rockets,,Sacramento Kings,
13,Atlanta Hawks,,San Antonio Spurs,
14,Philadelphia 76ers,,Atlanta Hawks,
15,Toronto Raptors,,Brooklyn Nets,
16,Minnesota Timberwolves,,Dallas Mavericks,
17,San Antonio Spurs,,Denver Nuggets,
18,Indiana Pacers,,Detroit Pistons,
19,Houston Rockets,,Los Angeles Clippers,
20,Boston Celtics,,Miami Heat,
21,Charlotte Hornets,,New Orleans Pelicans,
22,New York Knicks,,Orlando Magic,
23,Utah Jazz,,Phoenix Suns,
24,Memphis Grizzlies,,Portland Trail Blazers,
25,Chicago Bulls,,Washington Wizards,
26,Golden State Warriors,,Los Angeles Lakers,
27,Milwaukee Bucks,,Philadelphia 76ers,
28,Cleveland Cavaliers,,Sacramento Kings,
29,Toronto Raptors,,Charlotte Hornets,
30,Memphis Grizzlies,,Dallas Mavericks,
31,Portland Trail Blazers,,Denver Nuggets,
32,Cleveland Cavaliers,,Golden State Warriors,
33,New York Knicks,,Houston Rockets,
34,Boston Celtics,,Indiana Pacers,
35,Los Angeles Lakers,,Los Angeles Clippers,
36,Miami Heat,,Minnesota Timberwolves,
37,Detroit Pistons,,Oklahoma City Thunder,
38,Atlanta Hawks,,Orlando Magic,
39,New Orleans Pelicans,,Phoenix Suns,
40,Sacramento Kings,,Utah Jazz,
41,San Antonio Spurs,,Washington Wizards,
42,Philadelphia 76ers,,Chicago Bulls,
43,Brooklyn Nets,,Milwaukee Bucks,
44,Orlando Magic,,Boston Celtics,
45,San Antonio Spurs,,Cleveland Cavaliers,
46,Charlotte Hornets,,Detroit Pistons,
47,Los Angeles Clippers,,Golden State Warriors,
48,Phoenix Suns,,Houston Rockets,
49,Brooklyn Nets,,Indiana Pacers,
50,Utah Jazz,,Los Angeles Lakers,
51,Dallas Mavericks,,Memphis Grizzlies,
52,Atlanta Hawks,,Milwaukee Bucks,
53,Oklahoma City Thunder,,Minnesota Timberwolves,
54,Washington Wizards,,New York Knicks,
55,Denver Nuggets,,Portland Trail Blazers,
56,New Orleans Pelicans,,Sacramento Kings,
57,Miami Heat,,Toronto Raptors,
58,New York Knicks,,Chicago Bulls,
59,Charlotte Hornets,,Cleveland Cavaliers,
60,Phoenix Suns,,Dallas Mavericks,
61,Memphis Grizzlies,,Detroit Pistons,
62,Portland Trail Blazers,,Los Angeles Lakers,
63,Philadelphia 76ers,,Miami Heat,
64,Toronto Raptors,,Minnesota Timberwolves,
65,Golden State Warriors,,New Orleans Pelicans,
66,Houston Rockets,,Oklahoma City Thunder,
67,Denver Nuggets,,Utah Jazz,
68,Boston Celtics,,Washington Wizards,
69,Indiana Pacers,,Atlanta Hawks,
70,Miami Heat,,Brooklyn Nets,
71,Orlando Magic,,Charlotte Hornets,
72,Minnesota Timberwolves,,Denver Nuggets,
73,Utah Jazz,,Los Angeles Clippers,
74,Golden State Warriors,,Memphis Grizzlies,
75,Oklahoma City Thunder,,Milwaukee Bucks,
76,Detroit Pistons,,New York Knicks,
77,Chicago Bulls,,Philadelphia 76ers,
78,Sacramento Kings,,Portland Trail Blazers,
79,Dallas Mavericks,,San Antonio Spurs,
